director_id,director,year,category
15974,CARL TH. DREYER,1965,Bodil
15980,ANDREW NICCOL,1999,Oscar
16002,RICHARD ATTENBOROUGH,1983,Oscar
16047,JAN SVĚRÁK,1997,BAFTA Film Award
16097,SLATAN DUDOW,1952,Best Director
16098,CAMERON CROWE,2001,Oscar
16152,DOUG LIMAN,2015,Saturn Award
16161,JIŘÍ MENZEL,1969,BAFTA Film Award
16203,JOHN CARPENTER,1999,Saturn Award
16236,RUPERT WAINWRIGHT,1989,Gold Hugo
16239,BRAD SILBERLING,2016,Image Award
16243,THOMAS ENGEL,1954,Golden Lion
16244,ALAIN RESNAIS,1952,Special Award
16331,CHRIS MILLER,2012,Oscar
16343,DOUGLAS TRUMBULL,2012,Gordon E. Sawyer Award
16369,RON CLEMENTS,2017,Oscar
16393,JIM ABRAHAMS,1982,Primetime Emmy
16398,STANLEY KRAMER,1968,Oscar
16450,SATYAJIT RAY,1992,Honorary Award
16505,HIROYUKI OKIURA,1999,Best Asian Film
16514,WILLARD CARROLL,1988,Primetime Emmy
16522,DAVID LEAN,1985,Oscar
16576,JOSEPH M. NEWMAN,1937,Oscar
16578,VITTORIO DE SICA,1958,Oscar
16615,KARL HARTL,1974,Lifetime Achievement Award
16619,NELSON PEREIRA DOS SANTOS,1994,Golden Berlin Bear
16649,NIELS MUELLER,2004,Un Certain Regard Award
16651,WONG KAR-WAI,2001,BAFTA Film Award
16739,ROB BOWMAN,1998,Primetime Emmy
16747,MATTHEW ROBBINS,2016,Saturn Award
16756,PETER YATES,1984,Oscar
16772,BOB CLARK,2002,Jury Award
16787,LADISLAO VAJDA,1958,Golden Berlin Bear
16802,CHUCK RUSSELL,1995,International Fantasy Film Award
16808,NORA EPHRON,1994,Oscar
16832,JOHN BADHAM,1975,Primetime Emmy
16842,JOHN LASSETER,2011,Oscar
16907,JON TURTELTAUB,1999,DGA Award
16909,PAUL MICHAEL GLASER,1985,Primetime Emmy
16917,MARC FORSTER,2005,Golden Globe
16937,PHILLIP NOYCE,2003,Movies for Grownups Award
16969,GAVIN HOOD,2006,BAFTA Film Award
16999,FRANKLIN J. SCHAFFNER,1971,Oscar
17009,STANLEY DONEN,1998,Honorary Award
17031,MARLEEN GORRIS,1997,BAFTA Film Award
17052,AREND AGTHE,1994,Rights of the Child Award
17057,NORMAN JEWISON,1999,Irving G. Thalberg Memorial Award
17108,BRIAN LEVANT,1989,ACE
17111,JOSEPH VILSMAIER,2010,Honorary Award
17137,JOHN FRANKENHEIMER,1965,Golden Globe
17192,CHARLIE CHAPLIN,1973,Oscar
17218,STUART ROSENBERG,1964,Primetime Emmy
17228,G.W. PABST,1963,Honorary Award
17236,WILHELM THIELE,1974,Honorary Award
17237,MARTIN KOOLHOVEN,2006,Crystal Bear
17276,VINCENTE MINNELLI,1959,Oscar
17300,MEHBOOB KHAN,1963,Filmfare Award
17302,HIROYUKI KITAKUBO,2000,Best Asian Film
17306,GEORGE A. ROMERO,1994,Saturn Award
17324,ZACK SNYDER,2010,Saturn Award
17339,DEAN PARISOT,1989,Oscar
17351,JOE DANTE,1991,Saturn Award
17376,ROLF HANSEN,1957,Golden Berlin Bear
17381,NICOLAS ROEG,1974,BAFTA Film Award
17404,WOLFGANG STAUDTE,1964,Golden Berlin Bear
17415,JULES DASSIN,1961,Oscar
17430,MAX OPHÜLS,1955,Oscar
17438,CARLOS SALDANHA,2004,Oscar
17451,ERIC DARNELL,2017,Daytime Emmy
17455,J.J. ABRAMS,2017,Primetime Emmy
17521,MEL BROOKS,1975,Oscar
17571,JOHN STURGES,1956,Oscar
17590,ALEXANDER MACKENDRICK,1953,Oscar
17595,GASPAR NOÉ,1991,Prix Tournage
17623,WILLIAM A. WELLMAN,1955,Oscar
17638,GEORGE CUKOR,1965,Oscar
17675,DON SIEGEL,1955,DGA Award
17678,JAMES BRIDGES,1980,Oscar
17694,FRANK BORZAGE,1932,Oscar
17701,ROBERT ROSSEN,1962,Oscar
17713,BUSTER KEATON,1960,Honorary Award
17718,ANDERS THOMAS JENSEN,1999,Oscar
17778,STEFAN RUZOWITZKY,2007,Golden Berlin Bear
17801,LUCHINO VISCONTI,1970,Oscar
17850,JON AMIEL,1987,BAFTA TV Award
17856,ZHANG YANG,2007,Golden Kinnaree Award
17887,WILLIAM FRIEDKIN,1974,Oscar
17920,MICHELANGELO ANTONIONI,1995,Honorary Award
17982,JIM MCBRIDE,1995,CableACE
17989,MARK PELLINGTON,1993,Primetime Emmy
17995,EMIR KUSTURICA,1997,Silver Condor
18047,NIKI CARO,2003,BAFTA Children's Award
18077,JOSEF RUSNAK,1984,Film Award in Gold
18078,CAROL REED,1969,Oscar
18097,LOUIS MALLE,1988,Oscar
18157,BYAMBASUREN DAVAA,2005,Oscar
18177,KEN LOACH,2017,BAFTA Film Award
18346,BILL CONDON,2003,Oscar
18404,BRAD MCGANN,1996,Certificate of Merit
18416,FERNANDO LEÓN DE ARANOA,2003,ADIRCAE Award
18483,NADIA TASS,1998,Grand Jury Award
18495,ACHIM BORNHAK,2016,Jury Award
18499,JAMES IVORY,1994,Oscar
18555,SYLVESTER STALLONE,2016,Oscar
18668,ROBERT DE NIRO,2013,Oscar
18806,PETER WEBBER,2004,Alexander Korda Award for Best British Film
18819,ALLEN COULTER,2010,Primetime Emmy
18840,MARK STEVEN JOHNSON,2007,Rondo Statuette
18841,TODD ROBINSON,1994,Primetime Emmy
18850,PHILIPPE LIORET,2009,Prize of the Ecumenical Jury
18873,BONG JOON-HO,2011,EDA Award
18962,ANDREAS PROCHASKA,2013,Adolf Grimme Award
18977,MICHAEL LEHMANN,1996,Primetime Emmy
18987,RICHARD EYRE,2007,Alexander Korda Award for Best British Film
19003,CARSTEN STRAUCH,2013,Adolf Grimme Award
19019,JOACHIM MASANNEK,2004,Golden Gryphon
19022,GÁBOR CSUPÓ,2003,Primetime Emmy
19049,DAVID AYER,2017,EDA Special Mention Award
19054,STEPHEN J. ANDERSON,2012,Annie
19058,STEVE BENDELACK,2012,BAFTA TV Award
19062,CYRILL BOSS,2013,Bavarian Film Award
19065,KEVIN MUNROE,2012,Golden Raven
19066,ROLF SCHÜBEL,2005,Audience Award of the 'Marl Group'
19089,MEL SMITH,1987,ACE
19090,SANTIAGO SEGURA,1999,Best International Film
19100,ERROL MORRIS,2004,Oscar
19143,MARY HARRON,2011,Black Pearl Award
19152,JULIE TAYMOR,2003,Oscar
19171,JULIO MÉDEM,2000,Audience Award
19220,JOHN G. AVILDSEN,1983,Oscar
19231,TED KOTCHEFF,1972,BAFTA TV Award
19242,GEORGE P. COSMATOS,1983,Grand Prix
19245,PETER MACDONALD,1995,International Fantasy Film Award
19248,JEROEN KRABBÉ,1998,Blue Angel
19259,MELVILLE SHAVELSON,1959,Oscar
19270,JOHN CAMERON MITCHELL,2002,Golden Globe
19316,GRAEME CLIFFORD,1974,BAFTA Film Award
19318,MIRANDA JULY,2011,Golden Berlin Bear
19355,CLAUDE LELOUCH,1976,Oscar
19396,TODD HAYNES,2003,Oscar
19530,ZANA BRISKI,2005,Oscar
19549,EVA NEYMANN,2007,First Steps Award
19566,GABRIELE MUCCINO,2013,EDA Special Mention Award
19600,RALPH NELSON,1964,Oscar
19613,ERICH VON STROHEIM,1951,Oscar
19618,RON UNDERWOOD,1994,Saturn Award
19623,OLIVIER DAHAN,2008,BAFTA Film Award
19634,RENNY HARLIN,1990,Saturn Award
19649,MICHAEL TOLKIN,1993,Oscar
19672,FENTON BAILEY,2017,Primetime Emmy
