,ScreenName,UserTweets,DateOfTweets,TweetFollowers
1308,durumcrustulum,"@pqcrypt *nod*| also goes hand in hand with https://t.co/Tl4fnInWQe:||""... for any sigma-protocol that is a proof-o… https://t.co/AvZwsGcgcd",2019-03-06 21:17:30,2148
1328,Debz7172,@joebrowns No 1,2019-03-06 21:06:09,456
1348,hushiraf_55422,Extremely proud of @segalink at  all time.What he did with #EndSARS is golden.Nt to talk of other issues he has sto… https://t.co/jDZPKJzrRI,2019-03-06 21:03:25,322
1368,MoistureVapor8r,"RT @joshscampbell: Manafort ""owed us a lot of money|"" said a former Russsian intelligence officer/arms dealer. ""And he was offering ways to…",2019-03-06 21:18:34,3090
1388,jagpatrola,RT @ihavemp4: https://t.co/ak1YlX4mNr,2019-03-06 20:03:44,305
1408,sndaire,RT @AsherPatience: @naiblogger @sndaire Simply means the relationship is Open....Room for other relationships,2019-03-06 20:33:40,41474
1428,jelodonovan,@80sThen80sNow One crazy summer please!,2019-03-06 19:44:28,75
1448,MaiWorld51,RT @GaetaSusan: @realDonaldTrump The lefts platform is| do as I say| not as I do. The party is 100% corrupt. They are 100% responsible for…,2019-03-06 20:34:04,32345
1468,joebingo49,RT @thedsggroup: Funniest comment I ever saw regarding Tommy Robinson was 'Tommy Robinson pours Lays into empty packets of Walkers when he'…,2019-03-06 21:13:13,1562
1488,DennisB21296343,@AnnaMeiler Great work by the police and reporters,2019-03-06 20:01:59,10
1508,LvciferClass101,RT @FreemanPromo: :: A Pale Horse Named Death announce East Coast North American dates /// @aphnd https://t.co/yG4ha94vHP,2019-03-06 20:02:27,145
1528,madeinitaleee,@OnMyBlock olivia better be recasted or dead,2019-03-06 21:17:50,2570
1548,KevTKel,RT @SenKamalaHarris: Today the Senate voted to advance the nomination of Chad Readler to the Sixth Circuit. Readler defended some of the Tr…,2019-03-06 21:25:43,3310
1568,agosjudez,RT @Maaurenn: Vuelve en adopcion esta dulzura. Por causa de fuerza mayor los dueños tienen que dejar su casa y no se lo pueden llevar. Comp…,2019-03-06 21:07:40,1881
1588,LouisHenwood,@OliverNorgrove Oliver Norgrove @OliverNorgrove What should I give up for Lent?||Free movement and trade deals,2019-03-06 18:37:06,1019
1608,caffeaint,RT @ashraff_amsyar: tak tahu la kau tgh gelak ke or senyum 🤣 https://t.co/LJtiegCt78,2019-03-06 16:40:49,2058
1628,nutxaq,@CInsistence @Fishbones2017 True. There are a fair amount of Sanders supporters who are sympathetic to the gun cont… https://t.co/jHt6z0ub9S,2019-03-06 19:55:05,774
1648,multiiris,RT @srirachadrinker: lol i lose my shit every time i remember that k-pop was created by the south korean government in the late 90s as an e…,2019-03-06 20:43:42,154
1668,Hiro_F_X,내가 가진 감정을 함부로 판단하지마. 이 감정의 이름은 '질투'가 아니거든? 이름을 틀리게 말하는거| 생각외로 기분나쁜거 아는지 모르겠다. 명심해| 이 감정의 이름은 '혐오'야.,2019-03-06 21:00:52,2
1688,bryangale,The Adventures of Milo and Otis. This was a harrowing one to get a screen grab for! I didn't know when I first saw… https://t.co/hIZquMuhaa,2019-03-06 19:43:57,784
1708,washedupvic,RT @Sarcasmos_12: @TannerLPer https://t.co/iZ9MQ2EUTf,2019-03-06 21:22:51,153
1728,ManhattanBuild,“Become a part of something larger than yourself and always challenge yourself to learn more every chance you get.”… https://t.co/fGwooUxJmt,2019-03-06 21:00:17,1911
1731,Flash_Mates,Featured bts in flash_mates community|Reposted from @RubenGphoto  -  How to create outstanding portrait images in s… https://t.co/BhPUgmPllV,2019-03-06 12:29:20,37
1749,WomanKansas,RT @KateAronoff: It'd be great if Senate Democrats would bring up how much money their Republican colleagues are collecting from the fossil…,2019-03-06 20:36:34,29
1769,sick__66,@TracedThurman TRACE THAT DOES NOT HELP 😂,2019-03-06 21:14:34,5547
1789,Piratas_RJ,RT @mtst: Enquanto @jairbolsonaro ataca a cultura popular e o carnaval| a Reforma da Previdência segue no Congresso Nacional. Na proposta|…,2019-03-06 20:04:07,53
1809,gentle__mother,Lot of crossover between Wellbutrin and meth,2019-03-06 17:36:18,27
1828,Bonolo_M_,RT @LordMampe: As much as you'd like to| you just can't have it all https://t.co/feRHpL8Vzd,2019-03-06 20:50:44,1276
1848,victorserenity,"RT @oiluiz: Ilona Szabó antes da eleição: ""EleNão""|Depois da eleição: ""Cargo no governo? Topo!""||Daniela Mercury antes da eleição: ""EleNão""…",2019-03-06 20:01:21,467
1868,a_ranking_news,(3/6) honto 本の通販ストアランキング &gt; 社会・時事・政治・行政 &gt; 治安・警察・消防ランキング1位:互 敦史 （著）『基礎から分かる交通事故捜査と過失の認定 ２訂版』|https://t.co/jjUMvQNZHX,2019-03-06 21:26:05,809
1888,Bravebelly2,@JuliaHB1 @andrewdavidcleg Life is a bitch| then you marry one.......,2019-03-06 20:36:58,4075
1908,SarcasticSadOne,@noaccountlurker @Oh_Katieeee @PrisonCookies @CArmanthegirl @Artemis_Ascends @ladystardust56 @ok_one_more… https://t.co/FVGy9i6Sbb,2019-03-06 21:07:46,16717
1928,SBerrebi,RT @KleptocracyIntv: A new FBI squad is escalating US efforts to hunt down the proceeds of foreign corrruption.||“Beverly Hills| New York|…,2019-03-06 07:15:59,2076
